PhytozomeID	Species	ReferencePublication/PI
Lusitatissimum_200_v1_0	Linum_usitatissimum	Wang, Z., Hobson, N., Galindo, L., Zhu, S., Shi, D., McDill, J., … Deyholos, M. K. (2012). The genome of flax ( Linum usitatissimum ) assembled de novo from short shotgun sequence reads. The Plant Journal, 72(3), 461–473. https://doi.org/10.1111/j.1365-313x.2012.05093.x
Macuminata_304_v1	Musa_acuminata	D’Hont, A., Denoeud, F., Aury, JM. et al. The banana (Musa acuminata) genome and the evolution of monocotyledonous plants. Nature 488, 213–217 (2012). https://doi.org/10.1038/nature11241
Mdomestica_491_v1_1	Malus_domestica	Riccardo Velasco
Mesculenta_520_v7_1	Manihot_esculenta	Bredeson, J. V., Lyons, J. B., Prochnik, S. E., Wu, G. A., Ha, C. M., Edsinger-Gonzales, E., … Rokhsar, D. S. (2016). Sequencing wild and cultivated cassava and related species reveals extensive interspecific hybridization and genetic diversity. Nature Biotechnology, 34(5), 562–570. https://doi.org/10.1038/nbt.3535
Mguttatus_256_v2_0	Mimulus_guttatus_v2	Hellsten, U., Wright, K. M., Jenkins, J., Shu, S., Yuan, Y., Wessler, S. R., … Rokhsar, D. S. (2013). Fine-scale variation in meiotic recombination in Mimulus inferred from population shotgun sequencing. Proceedings of the National Academy of Sciences, 110(48), 19478–19482. https://doi.org/10.1073/pnas.1319032110
MguttatusNONTOL_553_v4_0	Mimulus_guttatus_NONTOL	John H. Willis & Todd J. Vision
MguttatusTOL_551_v5_0	Mimulus_guttatus_TOL	John H. Willis & Todd J. Vision
Mmaritima_477_v1_1	Malcolmia_maritima	Chris Pires & Steve Wright
Mperfoliatum_471_v1_1	Myagrum_perfoliatum	-
Mpolymorpha_320_v3_1	Marchantia_polymorpha	Bowman, J. L., Kohchi, T., Yamato, K. T., Jenkins, J., Shu, S., Ishizaki, K., … Schmutz, J. (2017). Insights into Land Plant Evolution Garnered from the Marchantia polymorpha Genome. Cell, 171(2), 287-304.e15. https://doi.org/10.1016/j.cell.2017.09.030
MpusillaCCMP1545_228_v3_0	Micromonas_pusilla_CCMP1545	Worden, A. Z., Lee, J.-H., Mock, T., Rouze, P., Simmons, M. P., Aerts, A. L., … Grigoriev, I. V. (2009). Green Evolution and Dynamic Adaptations Revealed by Genomes of the Marine Picoeukaryotes Micromonas. Science, 324(5924), 268–272. https://doi.org/10.1126/science.1167222
MpusillaRCC299_229_v3_0	Micromonas_pusilla_RCC299	Worden, A. Z., Lee, J.-H., Mock, T., Rouze, P., Simmons, M. P., Aerts, A. L., … Grigoriev, I. V. (2009). Green Evolution and Dynamic Adaptations Revealed by Genomes of the Marine Picoeukaryotes Micromonas. Science, 324(5924), 268–272. https://doi.org/10.1126/science.1167222
Msinensis_497_v7_1	Miscanthus_sinensis	Mitros, T., Session, A. M., James, B. T., Wu, G. A., Belaffif, M. B., Clark, L. V., … Rokhsar, D. S. (2020). Genome biology of the paleotetraploid perennial biomass crop Miscanthus. Nature Communications, 11(1). https://doi.org/10.1038/s41467-020-18923-6
Mtruncatula_285_Mt4_0v1	Medicago_truncatula	Tang, H., Krishnakumar, V., Bidwell, S., Rosen, B., Chan, A., Zhou, S., … Town, C. D. (2014). An improved genome release (version Mt4.0) for the model legume Medicago truncatula. BMC Genomics, 15(1). https://doi.org/10.1186/1471-2164-15-312
Oeuropaea_451_v1_0	Olea_europaea	Unver, T., Wu, Z., Sterck, L., Turktas, M., Lohaus, R., Li, Z., … Van de Peer, Y. (2017). Genome of wild olive and the evolution of oil biosynthesis. Proceedings of the National Academy of Sciences, 114(44), E9413–E9422. https://doi.org/10.1073/pnas.1708621114
Olucimarinus_231_v2_0	Ostreococcus_lucimarinus	Palenik, B., Grimwood, J., Aerts, A., Rouzé, P., Salamov, A., Putnam, N., … Grigoriev, I. V. (2007). The tiny eukaryoteOstreococcusprovides genomic insights into the paradox of plankton speciation. Proceedings of the National Academy of Sciences, 104(18), 7705–7710. https://doi.org/10.1073/pnas.0611046104
Osativa_204_v7_0	Oryza_sativa	-
OsativaKitaake_499_v3_1	Oryza_sativa_Kitaake	Jain, R., Jenkins, J., Shu, S., Chern, M., Martin, J. A., Copetti, D., … Ronald, P. C. (2019). Genome sequence of the model rice variety KitaakeX. BMC Genomics, 20(1). https://doi.org/10.1186/s12864-019-6262-4
Othomaeum_386_v1_0	Oropetium_thomaeum	VanBuren, R., Bryant, D., Edger, P. P., Tang, H., Burgess, D., Challabathula, D., … Mockler, T. C. (2015). Single-molecule sequencing of the desiccation-tolerant grass Oropetium thomaeum. Nature, 527(7579), 508–511. https://doi.org/10.1038/nature15714
PdeltoidesWV94_445_v2_1	Populus_deltoides	Jerry Tuskan
Phallii_495_v3_1	Panicum_hallii	?
Ppatens_318_v3_3	Physcomitrella_patens	Lang, D., Ullrich, K. K., Murat, F., Fuchs, J., Jenkins, J., Haas, F. B., … Rensing, S. A. (2018). ThePhyscomitrella patenschromosome-scale assembly reveals moss genome structure and evolution. The Plant Journal, 93(3), 515–533. https://doi.org/10.1111/tpj.13801
Ppersica_298_v2_1	Prunus_persica	Verde, I., Abbott, A. G., Scalabrin, S., Jung, S., Shu, S., Marroni, F., … Rokhsar, D. S. (2013). The high-quality draft genome of peach (Prunus persica) identifies unique patterns of genetic diversity, domestication and genome evolution. Nature Genetics, 45(5), 487–494. https://doi.org/10.1038/ng.2586
Ptrichocarpa_533_v4_1	Populus_trichocarpa	-
PtrichocarpaStettler14_532_v1_1	Populus_trichocarpa_Stettler	Bob Schmitz
Pumbilicalis_456_v1_5	Porphyra_umbilicalis	Brawley, S. H., Blouin, N. A., Ficko-Blean, E., Wheeler, G. L., Lohr, M., Goodson, H. V., … Prochnik, S. E. (2017). Insights into the red algae and eukaryotic evolution from the genome ofPorphyra umbilicalis(Bangiophyceae, Rhodophyta). Proceedings of the National Academy of Sciences, 114(31), E6361–E6370. https://doi.org/10.1073/pnas.1703088114
Pvirgatum_516_v5_1	Panicum_virgatum	Lovell, J. T., MacQueen, A. H., Mamidi, S., Bonnette, J., Jenkins, J., Napier, J. D., … Schmutz, J. (2021). Genomic mechanisms of climate adaptation in polyploid bioenergy switchgrass. Nature, 590(7846), 438–444. https://doi.org/10.1038/s41586-020-03127-1
Pvulgaris_442_v2_1	Phaseolus_vulgaris	Scott Jackson, Phil McClean, Jeremy Schmutz
PvulgarisUI111_534_v1_1	Phaseolus_vulgarisUI111	Phil McClean, Jeremy Schmutz
Pvulgaris	Phaseolus_coccineus	?
Rcommunis_119_v0_1	Ricinus_communis	Chan, A. P., Crabtree, J., Zhao, Q., Lorenzi, H., Orvis, J., Puiu, D., … Rabinowicz, P. D. (2010). Draft genome sequence of the oilseed species Ricinus communis. Nature Biotechnology, 28(9), 951–956. https://doi.org/10.1038/nbt.1674
Rislandica_473_v1_1	Rorippa_islandica	Chris Pires & Steve Wright
Salba_480_v1_1	Sinapis_alba	A	Chris Pires & Steve Wright
Sbicolor_454_v3_1_1	Sorghum_bicolor	John Vogel
Sfallax_522_v1_1	Sphagnum_fallax	John Shaw & David Weston 
Sitalica_312_v2_2	Setaria_italica	Bennetzen, J. L., Schmutz, J., Wang, H., Percifield, R., Hawkins, J., Pontaroli, A. C., … Devos, K. M. (2012). Reference genome sequence of the model plant Setaria. Nature Biotechnology, 30(6), 555–561. https://doi.org/10.1038/nbt.2196
Slycopersicum_514_ITAG3_2	Solanum_lycopersicum	The Tomato Genome Consortium. The tomato genome sequence provides insights into fleshy fruit evolution. Nature 485, 635–641 (2012). https://doi.org/10.1038/nature11119
Smagellanicum_521_v1_1	Sphagnum_magellanicum	John Shaw & David Weston
Smoellendorffii_91_v1_0	Selaginella_moellendorffii	Banks, J. A., Nishiyama, T., Hasebe, M., Bowman, J. L., Gribskov, M., dePamphilis, C., … Grigoriev, I. V. (2011). The Selaginella Genome Identifies Genetic Changes Associated with the Evolution of Vascular Plants. Science, 332(6032), 960–963. https://doi.org/10.1126/science.1203810
Spinnata_486_v1_1	Stanleya_pinnata	Chris Pires & Steve Wright
Spolyrhiza_290_v2	Spirodela_polyrhiza	Wang, W., Haberer, G., Gundlach, H., Gläßer, C., Nussbaumer, T., Luo, M. C., … Messing, J. (2014). The Spirodela polyrhiza genome reveals insights into its neotenous reduction fast growth and aquatic lifestyle. Nature Communications, 5(1). https://doi.org/10.1038/ncomms4311
Spurpurea_519_v5_1	Salix_purpurea	Lawrence Smart, Christopher Town, Stephen DiFazio, Gerald Tuskan
SpurpureaFishCreek_518_v3_1	Salix_purpurea	Lawrence Smart, Christopher Town, Stephen DiFazio, Gerald Tuskan
Stuberosum_448_v4_03	Solanum_tuberosum	The Potato Genome Sequencing Consortium. Genome sequence and analysis of the tuber crop potato. Nature 475, 189–195 (2011). https://doi.org/10.1038/nature10158
Sviridis_500_v2_1	Setaria_viridis	Mamidi, S., Healey, A., Huang, P., Grimwood, J., Jenkins, J., Barry, K., … Kellogg, E. A. (2020). A genome resource for green millet Setaria viridis enables discovery of agronomically valuable loci. Nature Biotechnology, 38(10), 1203–1210. https://doi.org/10.1038/s41587-020-0681-2
Taestivum_296_v2_2	Triticum_aestivum	Mayer, K. F. X., Rogers, J., Dole el, J., Pozniak, C., Eversole, K., Feuillet, C., … Praud, S. (2014). A chromosome-based draft sequence of the hexaploid bread wheat (Triticum aestivum) genome. Science, 345(6194), 1251788–1251788. https://doi.org/10.1126/science.1251788
Tarvense_479_v1_1	Thlaspi_arvense	Chris Pires & Steve Wright
Tcacao_523_v2_1	Theobroma_cacao	Motamayor, J. C., Mockaitis, K., Schmutz, J., Haiminen, N., III, D. L., Cornejo, O., … Kuhn, D. N. (2013). The genome sequence of the most widely cultivated cacao type and its use to identify candidate genes regulating pod color. Genome Biology, 14(6). https://doi.org/10.1186/gb-2013-14-6-r53
Tintermedium_503_v2_1	Thinopyrum_intermedium	Kevin M. Dorn & Jesse Poland
Tpratense_385_v2	Trifolium_pratense	De Vega, J. J., Ayling, S., Hegarty, M., Kudrna, D., Goicoechea, J. L., Ergon, Å., … Skøt, L. (2015). Red clover (Trifolium pratense L.) draft genome provides a platform for trait improvement. Scientific Reports, 5(1). https://doi.org/10.1038/srep17394
Vcarteri_317_v2_1	Volvox_carteri	Prochnik, S. E., Umen, J., Nedelcu, A. M., Hallmann, A., Miller, S. M., Nishii, I., … Rokhsar, D. S. (2010). Genomic Analysis of Organismal Complexity in the Multicellular Green Alga Volvox carteri. Science, 329(5988), 223–226. https://doi.org/10.1126/science.1188800
Vunguiculata_540_v1_2	Vigna_unguiculata	Lonardi, S., Muñoz‐Amatriaín, M., Liang, Q., Shu, S., Wanamaker, S. I., Lo, S., … Close, T. J. (2019). The genome of cowpea ( Vigna unguiculata [L.] Walp.). The Plant Journal, 98(5), 767–782. https://doi.org/10.1111/tpj.14349
Vvinifera_457_v2_1	Vitis_vinifera	The grapevine genome sequence suggests ancestral hexaploidization in major angiosperm phyla. (2007). Nature, 449(7161), 463–467. https://doi.org/10.1038/nature06148
Zmarina_324_v2_2	Zostera_marina	Ma, X., Olsen, J. L., Reusch, T. B. H., Procaccini, G., Kudrna, D., Williams, M., … Van de Peer, Y. (2021). Improved chromosome-level genome assembly and annotation of the seagrass, Zostera marina (eelgrass). F1000Research, 10, 289. https://doi.org/10.12688/f1000research.38156.1
Zmays_284_Ensembl-18	Zea_mays_ENSEMBL-18	?
ZmaysPH207_443_v1_1	Zea_mays_PH207	Hirsch, C. N., Hirsch, C. D., Brohammer, A. B., Bowman, M. J., Soifer, I., Barad, O., … Mikel, M. A. (2016). Draft Assembly of Elite Inbred Line PH207 Provides Insights into Genomic and Transcriptome Diversity in Maize. The Plant Cell, 28(11), 2700–2714. https://doi.org/10.1105/tpc.16.00353
